Project Name,block_address,query_used,lat,lon,matched_address
PARAMOUNT SHOPPING CENTRE,30 EAST COAST ROAD,30 EAST COAST ROAD,1.30394669999181,103.902825585763,30 EAST COAST ROAD KATONG V SINGAPORE 428751
SOHO LIFE,216 JOO CHIAT ROAD,216 JOO CHIAT ROAD,1.311960653325,103.900424708242,216 JOO CHIAT ROAD SOHO LIFE SINGAPORE 427483
PARKWAY CENTRE,1 MARINE PARADE CENTRAL,1 MARINE PARADE CENTRAL,1.30188732078192,103.905996468402,1 MARINE PARADE CENTRAL PARKWAY CENTRE SINGAPORE 449408
UPPER SERANGOON SHOPPING CENTRE,756 UPPER SERANGOON ROAD,756 UPPER SERANGOON ROAD,1.35348082277147,103.878828134896,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626
TAC BUILDING,"331,331C,333A,333D E JALAN BESAR",331 E JALAN BESAR,1.34054499977967,103.756844039944,541 BUKIT BATOK STREET 23 TACAM INDUSTRIAL BUILDING SINGAPORE 659546
THE ADELPHI,1 COLEMAN STREET,1 COLEMAN STREET,1.29118503658447,103.851184338699,1 COLEMAN STREET THE ADELPHI SINGAPORE 179803
GOLDHILL SHOPPING CENTRE,"175,177 THOMSON ROAD",175 THOMSON ROAD,1.31827629760157,103.843669275277,175 THOMSON ROAD GOLDHILL SHOPPING CENTRE SINGAPORE 307624
GIFFARD MANSIONS,424 BALESTIER ROAD,424 BALESTIER ROAD,1.32619717807328,103.84910065649,424 BALESTIER ROAD GIFFARD MANSIONS SINGAPORE 329810
TONG BUILDING,302 ORCHARD ROAD,302 ORCHARD ROAD,1.30394537388751,103.834827426749,302 ORCHARD ROAD TONG BUILDING SINGAPORE 238862
JALAN BESAR PLAZA,101 KITCHENER ROAD,101 KITCHENER ROAD,1.30865766748104,103.858066663176,101 KITCHENER ROAD JALAN BESAR PLAZA SINGAPORE 208511
BOON SING BUILDING,41 MIDDLE ROAD,41 MIDDLE ROAD,1.29702150960937,103.855386164465,41 MIDDLE ROAD BOON SING BUILDING SINGAPORE 188950
MERCHANT SQUARE,"51,2 MERCHANT ROAD/FISHER STREET",51 MERCHANT ROAD,1.28880580674255,103.843480960123,51 MERCHANT ROAD RAFFLES COLLEGE OF HIGHER EDUCATION SINGAPORE 058283
LOT 18,2 ALIWAL STREET,2 ALIWAL STREET,1.30186780183715,103.861507444818,2 ALIWAL STREET HONGKONG PALACE BUILDING SINGAPORE 199895
N.A.,"40,40A,40B,40C,40D CARPENTER STREET",40 CARPENTER STREET,1.28782986256687,103.847869891787,40 CARPENTER STREET SINGAPORE 059919
PENINSULA SHOPPING COMPLEX,3 COLEMAN STREET,3 COLEMAN STREET,1.29180789601988,103.850272637854,3 COLEMAN STREET PENINSULA SHOPPING COMPLEX SINGAPORE 179804
THONG SIA BUILDING,30 BIDEFORD ROAD,30 BIDEFORD ROAD,1.30425053163192,103.836812766145,30 BIDEFORD ROAD ORCHARD HILLS SINGAPORE 229922
PRUDENTIAL TOWER,30 CECIL STREET,30 CECIL STREET,1.2827970957662,103.849887722614,30 CECIL STREET PRUDENTIAL TOWER SINGAPORE 049712
THONG TECK BUILDING,15 SCOTTS ROAD,15 SCOTTS ROAD,1.30788492696723,103.83273062786,15 SCOTTS ROAD 15 SCOTTS SINGAPORE 228218
LUCRUM CAPITAL BUILDING,1 FINLAYSON GREEN,1 FINLAYSON GREEN,1.28224053148139,103.851287256982,1 FINLAYSON GREEN ONE FINLAYSON GREEN SINGAPORE 049246
THE RIVERSIDE PIAZZA,11 KENG CHEOW STREET,11 KENG CHEOW STREET,1.28852635485141,103.843960031317,11 KENG CHEOW STREET COLUMBIA JUNIOR ACADEMY PTE. LTD. SINGAPORE 059608
THE MEZZO,205 BALESTIER ROAD,205 BALESTIER ROAD,1.32052452699851,103.852447326986,205 BALESTIER ROAD THE MEZZO SINGAPORE 329682
CAVAN SUITES,11 CAVAN ROAD,11 CAVAN ROAD,1.31099855930995,103.861155186704,11 CAVAN ROAD CAVAN SUITES SINGAPORE 209848
HERITAGE PLACE,21 TAN QUEE LAN STREET,21 TAN QUEE LAN STREET,1.29858926583677,103.856405058091,21 TAN QUEE LAN STREET HERITAGE PLACE SINGAPORE 188108
ANSON HOUSE,72 ANSON ROAD,72 ANSON ROAD,1.27387959086363,103.844426391011,72 ANSON ROAD ANSON HOUSE SINGAPORE 079911
SUNSHINE PLAZA,91 BENCOOLEN STREET,91 BENCOOLEN STREET,1.30034762081549,103.851046168708,91 BENCOOLEN STREET SUNSHINE PLAZA SINGAPORE 189652
SULTAN PLAZA,100 JALAN SULTAN,100 JALAN SULTAN,1.30294528666428,103.861851786605,100 JALAN SULTAN GOLDEN SULTAN PLAZA SINGAPORE 199001
MIDLAND HOUSE,112 MIDDLE ROAD,112 MIDDLE ROAD,1.29907498369995,103.853742833504,112 MIDDLE ROAD MIDLAND HOUSE SINGAPORE 188970
