quarter,industry1,industry2,industry3,employment_change,,,,,,
2005-Q4,manufacturing,textile and wearing apparel,paper products and printing,-,,,,,,
2005-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.5,,,,,,
2005-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-,,,,,,
2005-Q4,manufacturing,fabricated metal products,fabricated metal products,0.1,,,,,,
2005-Q4,manufacturing,machinery and equipment,machinery and equipment,1.1,,,,,,
2005-Q4,manufacturing,electrical products,electrical products,-0.2,,,,,,
2005-Q4,manufacturing,electronic products,electronic products,0.6,,,,,,
2005-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
2005-Q4,manufacturing,transport equipment,transport equipment,3.1,,,,,,
2005-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
2005-Q4,construction,construction,construction,1.7,,,,,,
2005-Q4,services,wholesale and retail trade,wholesale trade,2.2,,,,,,
2005-Q4,services,wholesale and retail trade,retail trade,2.8,,,,,,
2005-Q4,services,transport and storage,land transport and supporting services,0.5,,,,,,
2005-Q4,services,transport and storage,water transport and supporting services,0.6,,,,,,
2005-Q4,services,transport and storage,air transport and supporting services,-,,,,,,
2005-Q4,services,transport and storage,other transport and storage services,1.7,,,,,,
2005-Q4,services,hotels and restaurants,hotels,1.8,,,,,,
2005-Q4,services,hotels and restaurants,restaurants,3.9,,,,,,
2005-Q4,services,information and communications,broadcasting and publishing,0.5,,,,,,
2005-Q4,services,information and communications,telecommunications,-0.2,,,,,,
2005-Q4,services,information and communications,it and other information services,1.4,,,,,,
2005-Q4,services,financial services,financial institutions,1.4,,,,,,
2005-Q4,services,financial services,insurance,0.4,,,,,,
2005-Q4,services,real estate and leasing services,real estate and leasing services,0.9,,,,,,
2005-Q4,services,professional services,"legal, accounting and management services",0.8,,,,,,
2005-Q4,services,professional services,architectural and engineering services,0.5,,,,,,
2005-Q4,services,professional services,other professional services,0.7,,,,,,
2005-Q4,services,"community, social and personal services",education,0.7,,,,,,
2005-Q4,services,"community, social and personal services",public administration,1,,,,,,
2005-Q4,services,"community, social and personal services",health and social services,0.3,,,,,,
2005-Q4,services,"community, social and personal services","other community, social and personal services",2.4,,,,,,
2005-Q4,others,others,others,1.5,,,,,,
2006-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3,,,,,,
2006-Q1,manufacturing,textile and wearing apparel,paper products and printing,0.6,,,,,,
2006-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1.4,,,,,,
2006-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.1,,,,,,
2006-Q1,manufacturing,fabricated metal products,fabricated metal products,0.6,,,,,,
2006-Q1,manufacturing,machinery and equipment,machinery and equipment,1.9,,,,,,
2006-Q1,manufacturing,electrical products,electrical products,0.2,,,,,,
2006-Q1,manufacturing,electronic products,electronic products,1.2,,,,,,
2006-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.3,,,,,,
2006-Q1,manufacturing,transport equipment,transport equipment,4.2,,,,,,
2006-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.5,,,,,,
2006-Q1,construction,construction,construction,5.6,,,,,,
2006-Q1,services,wholesale and retail trade,wholesale trade,3.2,,,,,,
2006-Q1,services,wholesale and retail trade,retail trade,0.3,,,,,,
2006-Q1,services,transport and storage,land transport and supporting services,0.5,,,,,,
2006-Q1,services,transport and storage,water transport and supporting services,0.3,,,,,,
2006-Q1,services,transport and storage,air transport and supporting services,-0.1,,,,,,
2006-Q1,services,transport and storage,other transport and storage services,0.9,,,,,,
2006-Q1,services,hotels and restaurants,hotels,-0.7,,,,,,
2006-Q1,services,hotels and restaurants,restaurants,1.8,,,,,,
2006-Q1,services,information and communications,broadcasting and publishing,-,,,,,,
2006-Q1,services,information and communications,telecommunications,-0.1,,,,,,
2006-Q1,services,information and communications,it and other information services,1.2,,,,,,
2006-Q1,services,financial services,financial institutions,1.6,,,,,,
2006-Q1,services,financial services,insurance,0.4,,,,,,
2006-Q1,services,real estate and leasing services,real estate and leasing services,1.5,,,,,,
2006-Q1,services,professional services,"legal, accounting and management services",1.4,,,,,,
2006-Q1,services,professional services,architectural and engineering services,1.1,,,,,,
2006-Q1,services,professional services,other professional services,0.6,,,,,,
2006-Q1,services,"community, social and personal services",education,1.1,,,,,,
2006-Q1,services,"community, social and personal services",public administration,1.6,,,,,,
2006-Q1,services,"community, social and personal services",health and social services,0.9,,,,,,
2006-Q1,services,"community, social and personal services","other community, social and personal services",4.8,,,,,,
2006-Q1,others,others,others,0.4,,,,,,
2006-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1,,,,,,
2006-Q2,manufacturing,textile and wearing apparel,paper products and printing,0.3,,,,,,
2006-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.6,,,,,,
2006-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1,,,,,,
2006-Q2,manufacturing,fabricated metal products,fabricated metal products,0.6,,,,,,
2006-Q2,manufacturing,machinery and equipment,machinery and equipment,1.6,,,,,,
2006-Q2,manufacturing,electrical products,electrical products,0.4,,,,,,
2006-Q2,manufacturing,electronic products,electronic products,0.9,,,,,,
2006-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-1,,,,,,
2006-Q2,manufacturing,transport equipment,transport equipment,4.5,,,,,,
2006-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
2006-Q2,construction,construction,construction,3.5,,,,,,
2006-Q2,services,wholesale and retail trade,wholesale trade,3.1,,,,,,
2006-Q2,services,wholesale and retail trade,retail trade,-0.1,,,,,,
2006-Q2,services,transport and storage,land transport and supporting services,0.3,,,,,,
2006-Q2,services,transport and storage,water transport and supporting services,0.2,,,,,,
2006-Q2,services,transport and storage,air transport and supporting services,0.6,,,,,,
2006-Q2,services,transport and storage,other transport and storage services,0.5,,,,,,
2006-Q2,services,hotels and restaurants,hotels,-0.2,,,,,,
2006-Q2,services,hotels and restaurants,restaurants,1.8,,,,,,
2006-Q2,services,information and communications,broadcasting and publishing,0.5,,,,,,
2006-Q2,services,information and communications,telecommunications,0.1,,,,,,
2006-Q2,services,information and communications,it and other information services,1.3,,,,,,
2006-Q2,services,financial services,financial institutions,2.8,,,,,,
2006-Q2,services,financial services,insurance,0.5,,,,,,
2006-Q2,services,real estate and leasing services,real estate and leasing services,1.3,,,,,,
2006-Q2,services,professional services,"legal, accounting and management services",1.4,,,,,,
2006-Q2,services,professional services,architectural and engineering services,0.8,,,,,,
2006-Q2,services,professional services,other professional services,0.6,,,,,,
2006-Q2,services,"community, social and personal services",education,0.7,,,,,,
2006-Q2,services,"community, social and personal services",public administration,-0.1,,,,,,
2006-Q2,services,"community, social and personal services",health and social services,0.5,,,,,,
2006-Q2,services,"community, social and personal services","other community, social and personal services",3.6,,,,,,
2006-Q2,others,others,others,0.1,,,,,,
2006-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.7,,,,,,
2006-Q3,manufacturing,textile and wearing apparel,paper products and printing,-0.1,,,,,,
2006-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1,,,,,,
2006-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1,,,,,,
2006-Q3,manufacturing,fabricated metal products,fabricated metal products,0.3,,,,,,
2006-Q3,manufacturing,machinery and equipment,machinery and equipment,1.5,,,,,,
2006-Q3,manufacturing,electrical products,electrical products,0.1,,,,,,
2006-Q3,manufacturing,electronic products,electronic products,0.7,,,,,,
2006-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1,,,,,,
2006-Q3,manufacturing,transport equipment,transport equipment,6.5,,,,,,
2006-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.5,,,,,,
2006-Q3,construction,construction,construction,5.6,,,,,,
2006-Q3,services,wholesale and retail trade,wholesale trade,3.7,,,,,,
2006-Q3,services,wholesale and retail trade,retail trade,0.8,,,,,,
2006-Q3,services,transport and storage,land transport and supporting services,0.3,,,,,,
2006-Q3,services,transport and storage,water transport and supporting services,0.4,,,,,,
2006-Q3,services,transport and storage,air transport and supporting services,0.2,,,,,,
2006-Q3,services,transport and storage,other transport and storage services,0.3,,,,,,
2006-Q3,services,hotels and restaurants,hotels,-0.7,,,,,,
2006-Q3,services,hotels and restaurants,restaurants,1.9,,,,,,
2006-Q3,services,information and communications,broadcasting and publishing,0.1,,,,,,
2006-Q3,services,information and communications,telecommunications,-0.3,,,,,,
2006-Q3,services,information and communications,it and other information services,1.3,,,,,,
2006-Q3,services,financial services,financial institutions,2.8,,,,,,
2006-Q3,services,financial services,insurance,0.4,,,,,,
2006-Q3,services,real estate and leasing services,real estate and leasing services,0.5,,,,,,
2006-Q3,services,professional services,"legal, accounting and management services",1.7,,,,,,
2006-Q3,services,professional services,architectural and engineering services,1.6,,,,,,
2006-Q3,services,professional services,other professional services,0.5,,,,,,
2006-Q3,services,"community, social and personal services",education,1.4,,,,,,
2006-Q3,services,"community, social and personal services",public administration,-0.2,,,,,,
2006-Q3,services,"community, social and personal services",health and social services,0.9,,,,,,
2006-Q3,services,"community, social and personal services","other community, social and personal services",4.1,,,,,,
2006-Q3,others,others,others,0.2,,,,,,
2006-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.2,,,,,,
2006-Q4,manufacturing,textile and wearing apparel,paper products and printing,-0.1,,,,,,
2006-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.5,,,,,,
2006-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,0.1,,,,,,
