quarter,industry1,industry2,industry3,employment_change,,,,,,
1994-Q3,services,wholesale and retail trade,retail trade,-1.7,,,,,,
1994-Q3,services,"transport, storage and communications","transport, storage and communications",-0.5,,,,,,
1994-Q3,services,financial services,financial institutions,-,,,,,,
1994-Q3,services,financial services,insurance,-0.1,,,,,,
1994-Q3,services,business and real estate services,business and real estate services,1.7,,,,,,
1994-Q3,services,"community, social and personal services",public administration,n.a.,,,,,,
1994-Q3,services,"community, social and personal services",education,n.a.,,,,,,
1994-Q3,services,"community, social and personal services",health and social work,0.3,,,,,,
1994-Q3,services,"community, social and personal services","other community, social and personal services",4.6,,,,,,
1994-Q3,others,others,others,0.2,,,,,,
1994-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3,,,,,,
1994-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.5,,,,,,
1994-Q4,manufacturing,paper products and publishing,paper products and publishing,0.2,,,,,,
1994-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.6,,,,,,
1994-Q4,manufacturing,fabricated metal products,fabricated metal products,0.1,,,,,,
1994-Q4,manufacturing,machinery and equipment,machinery and equipment,-0.1,,,,,,
1994-Q4,manufacturing,electrical products,electrical products,0.3,,,,,,
1994-Q4,manufacturing,electronic products,electronic products,1.3,,,,,,
1994-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-,,,,,,
1994-Q4,manufacturing,transport equipment,transport equipment,0.4,,,,,,
1994-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3,,,,,,
1994-Q4,construction,construction,construction,5.3,,,,,,
1994-Q4,services,wholesale and retail trade,wholesale trade,2.9,,,,,,
1994-Q4,services,wholesale and retail trade,retail trade,2,,,,,,
1994-Q4,services,"transport, storage and communications","transport, storage and communications",1.3,,,,,,
1994-Q4,services,financial services,financial institutions,1.5,,,,,,
1994-Q4,services,financial services,insurance,0.3,,,,,,
1994-Q4,services,business and real estate services,business and real estate services,2.7,,,,,,
1994-Q4,services,"community, social and personal services",public administration,n.a.,,,,,,
1994-Q4,services,"community, social and personal services",education,n.a.,,,,,,
1994-Q4,services,"community, social and personal services",health and social work,0.9,,,,,,
1994-Q4,services,"community, social and personal services","other community, social and personal services",1.5,,,,,,
1994-Q4,others,others,others,0.2,,,,,,
1995-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2,,,,,,
1995-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.9,,,,,,
1995-Q1,manufacturing,paper products and publishing,paper products and publishing,-0.2,,,,,,
1995-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.7,,,,,,
1995-Q1,manufacturing,fabricated metal products,fabricated metal products,0.6,,,,,,
1995-Q1,manufacturing,machinery and equipment,machinery and equipment,0.5,,,,,,
1995-Q1,manufacturing,electrical products,electrical products,0.5,,,,,,
1995-Q1,manufacturing,electronic products,electronic products,2.9,,,,,,
1995-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.3,,,,,,
1995-Q1,manufacturing,transport equipment,transport equipment,2.2,,,,,,
1995-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.7,,,,,,
1995-Q1,construction,construction,construction,2.5,,,,,,
1995-Q1,services,wholesale and retail trade,wholesale trade,2.7,,,,,,
1995-Q1,services,wholesale and retail trade,retail trade,-1.2,,,,,,
